SAGDP2 Gross domestic product (GDP) by state 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAGDP2 Gross domestic product (GDP) by state 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State or DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
6000,California,20,"        Electrical equipment, appliance, and component manufacturing",2968.3,2654.3,3345.1,3886.3,3319.9,3310.6,3013,2946.7,3036.5,3449.8,3548.1,3898.1,3288.3,3498.7,3386.9,3182.8,3732.1,3535.5,4354.5,4166.2,4178.2,4964.3,5065.8,4508.6,4951.4,5799.3,6825.7,6739.5
6000,California,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",3072.6,3234.8,3628.2,3753.3,4511.2,4805.5,4936.2,4676.9,4403.4,4812.3,4311.2,3507.4,2611.5,2428.8,2873.1,2166.8,2314.9,2946.9,4201.5,5050.8,6673,7145,7339.2,8014.8,10148.5,11280,11362.8,10799.8
6000,California,22,        Other transportation equipment manufacturing,9025.2,10784.9,10662.4,6357.8,10007.7,9382,11012.5,10515.9,12521.3,12937.5,14871.9,15634.9,17302.8,15123,16971.5,13350.9,14754.6,15217.1,17157.3,17688.3,17719.8,20086,19152.8,19410.7,18776.5,18323.9,23471.2,24940
6000,California,23,        Furniture and related product manufacturing,2857.2,3038,3471.1,3569.3,3448.1,3340.6,3191.1,3156.7,3450.6,3633,3274.2,2758.9,2094.3,2002.6,1927.9,1886.3,2124.2,2212.8,2491.4,2521.2,2812.9,2774.8,3026.3,2613.8,2743.6,3217.9,3172.2,3175.8
6000,California,24,        Miscellaneous manufacturing,7623.2,9433.5,9802.3,10870.5,9707.8,9986.6,10616.6,10524.1,11100,12401.6,12130.8,12395.7,14299.4,14410.3,13702.7,14998.6,14920.7,14287.2,12888.2,13359.6,13521.1,14361.4,14428.3,14752.2,16262,16642.2,17762.7,18569.2
6000,California,25,      Nondurable goods manufacturing,50074.8,53177.9,56645.9,62604.7,64799.9,55928.1,64723,71113.8,84253,94048,99986.2,116888.6,102563.8,95982.4,88365.6,96530.6,101867,108152.2,111092.1,108751.7,118570.8,138986.4,142733.4,121989.2,144024.4,150265.8,150961.2,146419.6
6000,California,26,        Food and beverage and tobacco product manufacturing,12155.8,12706.6,15167.1,15272.2,16438.4,17408.9,17510.9,16735.6,17291.3,19788.6,20448.9,20921.9,25153.7,21834.2,20823.7,23011.1,23770.9,25924.6,29949.9,29499.3,29582.1,28031.7,27938.8,28886.4,30969.4,28710.1,33741.9,34670.3
6000,California,27,        Textile mills and textile product mills,1256,1343.9,1547.9,1635.7,1401.6,1346,1084.6,1356.7,1202.2,1247.5,1137.2,1123,946.4,878.9,806.5,897.4,1090.1,1105.8,1182.3,1142.5,1034.7,1074.7,1104,1109,1188.5,1146.7,1074.5,1056
6000,California,28,"        Apparel, leather, and allied product manufacturing",4012,4169.5,4482.7,4500.1,4053.2,3826.9,3521.7,3472,3429.7,3700.8,3571.9,3271.1,2892.8,3213.7,3248.8,3404.2,3645.9,3276.7,3138.5,3300.2,3134.5,3070.4,3328.2,3294.8,4005.2,4014.9,3878.2,4128.9
6000,California,29,        Paper manufacturing,2607.7,2643.6,2954.7,3029.9,2496.6,2603.3,2268.3,2348.1,2244.7,3054.9,2857.1,2548.9,3083.1,2882.1,2873.9,2433.1,2592,2545.2,2910,2907.7,2961.6,2973,3032.9,3311.2,3153,3491.4,3532.9,3570.3
6000,California,30,        Printing and related support activities,3915.4,4218.4,4587.8,4676.1,4446.6,4339.7,4280.8,4244.2,4220.6,4340.9,4613.1,3984.9,3518.7,3585.9,3456.5,3264.9,3503.7,3431.4,3528.5,3585.6,3536.7,3650.5,3675,3171.3,3308.7,3313,3196.6,3335.7
6000,California,31,        Petroleum and coal products manufacturing,11401,12074.4,10517.2,13162.1,15092.9,9360.3,14025.9,16496.4,29501.9,32857.7,35850.5,55019.5,29752.7,26276.2,21570,20106.1,16430.1,21316,17905.5,9971.9,15057.6,27866.7,27663.5,6185.2,24712.5,31772.6,28399.3,20108
6000,California,32,        Chemical manufacturing,10578.5,11506.9,12517.9,15697.5,16666.6,12789.5,17663.8,21832.8,21938.8,24404.9,26936.5,25844,32969.7,33083,31498.1,39049.2,46576.9,46455,47575.3,53642.9,58791.1,67491.4,70907.7,70930.8,71458.7,71612.8,70465.9,72613
6000,California,33,        Plastics and rubber products manufacturing,4148.5,4514.5,4870.6,4631.2,4203.9,4253.6,4367,4628,4423.8,4652.9,4571,4175.3,4246.6,4228.6,4087.9,4364.6,4257.5,4097.4,4902.1,4701.5,4472.5,4828,5083.4,5100.7,5228.5,6204.3,6672,6937.5
6000,California,34,    Wholesale trade,63190.4,67995.5,70384.8,75580,76010,76210.6,79875.7,84620.6,93083.9,101699.3,108145.4,109105.5,99224.7,106580.9,117487.5,120165.3,128237.3,139456.4,152827.5,148802.4,155598.1,160211.5,174021.4,170390.8,183686.9,202977.9,201086,208661.7
6000,California,35,    Retail trade,76947,83638.6,89215.5,95779.9,98970.6,102970.2,108580.6,115000.1,121189.5,126435.9,123320.8,115687.3,110186,115543.5,117841.3,124176.1,133658.5,138640.7,147265.5,151074.2,157909.5,161980.3,172079.8,173952.5,199955.7,215164.2,225934.5,233934.3
6000,California,36,    Transportation and warehousing,29111.4,30715.3,31306.7,33868.8,33778.8,33755.1,34821.9,38873,40437.4,46037.2,45642.6,45821.7,43180.7,46522.7,48051.6,48514.4,52255.1,56712.9,63494.4,69983.8,75160.2,82847.3,95121,85252.2,107783.7,122384.8,123775.1,131794.9
6000,California,37,      Air transportation,7653.2,7105.5,7136.8,7235.6,6215.4,6410.4,6083.3,7241.5,6393.4,9273.8,9034.2,7875.3,8120.1,10101.6,9546.1,9451.7,10738.6,12402.2,14474.1,16885.3,16489.8,16883.1,18993.7,7655.2,11957.8,18268,20283,21557.4
6000,California,38,      Rail transportation,1101.4,1206.3,1242.9,1286.4,1342.7,1196.2,1287.2,1391.7,1549.2,1685.6,1673.6,1849.4,1602.9,1571.5,1724,1631.8,1624.2,1738,1827.7,1708.3,1749.3,1882.5,1900.2,1756.7,1947.8,2078.4,2310.9,2293.2
6000,California,39,      Water transportation,795.5,746.2,742.1,921.3,972.7,793.3,849.1,782.8,640.2,823.9,1178.2,1354.2,1263.7,1166.2,1368.1,1202.5,1519.4,1561.1,1616.6,1617.4,1629.4,1781.9,1708.1,1432.8,1683.4,2116.5,1895.9,1822.8
6000,California,40,      Truck transportation,7644.6,8586.8,9236.3,10073.9,10039,9989.7,10492.4,11450.8,11998.3,12983.3,13049.4,12519.8,11727.1,11963.2,12926.9,13182.4,14133.5,15766.3,17374.5,18393.8,20256.8,21732.8,23077.3,23582.7,27593.1,29978.7,28665.7,29002.7
6000,California,41,      Transit and ground passenger transportation,1321.6,1483.2,1651.3,1745.1,1860.3,1896.1,2076.7,2207.2,2289.8,2498.6,2535.8,2744.7,2758.8,2983,3356.7,3779.4,3947.2,4319.7,4673.2,6759.3,8075.3,10932.8,17046.4,12655.6,14071,16970.6,18689.5,22680.4
6000,California,42,      Pipeline transportation,241.7,190.7,108.1,74.2,532.5,139.7,143.3,287.5,248.9,403,487.9,742.6,792,1147.3,1346.4,1199.5,1116.7,928,856.2,502.2,583.4,619.2,551.7,478.5,477.2,596.3,617.3,643.1
